Sat Jan 14 14:04:34 2023 | SUCCESS | res.planet | Ojom | ID_SW - 55 | ID_Odoo - 1603
Sat Jan 14 14:04:36 2023 | SUCCESS | res.planet | Skako | ID_SW - 56 | ID_Odoo - 1604
Sat Jan 14 14:04:38 2023 | SUCCESS | res.planet | Muunilinst | ID_SW - 57 | ID_Odoo - 1605
Sat Jan 14 14:04:40 2023 | SUCCESS | res.planet | Shili | ID_SW - 58 | ID_Odoo - 1606
Sat Jan 14 14:04:43 2023 | SUCCESS | res.planet | Kalee | ID_SW - 59 | ID_Odoo - 1607
Sat Jan 14 14:04:45 2023 | SUCCESS | res.planet | Umbara | ID_SW - 60 | ID_Odoo - 1608
Sat Jan 14 14:04:47 2023 | SUCCESS | res.partner | C-3PO | ID_SW - 2 | ID_Odoo - 224
Sat Jan 14 14:04:49 2023 | SUCCESS | res.partner | Luke Skywalker | ID_SW - 1 | ID_Odoo - 225
Sat Jan 14 14:04:51 2023 | SUCCESS | res.partner | R2-D2 | ID_SW - 3 | ID_Odoo - 226
Sat Jan 14 14:04:54 2023 | SUCCESS | res.partner | Darth Vader | ID_SW - 4 | ID_Odoo - 227
Sat Jan 14 14:04:56 2023 | SUCCESS | res.partner | Leia Organa | ID_SW - 5 | ID_Odoo - 228
Sat Jan 14 14:04:58 2023 | SUCCESS | res.partner | R5-D4 | ID_SW - 8 | ID_Odoo - 229
Sat Jan 14 14:05:00 2023 | SUCCESS | res.partner | Owen Lars | ID_SW - 6 | ID_Odoo - 230
Sat Jan 14 14:05:03 2023 | SUCCESS | res.partner | Beru Whitesun lars | ID_SW - 7 | ID_Odoo - 231
Sat Jan 14 14:05:05 2023 | SUCCESS | res.partner | Wilhuff Tarkin | ID_SW - 12 | ID_Odoo - 232
Sat Jan 14 14:05:07 2023 | SUCCESS | res.partner | Anakin Skywalker | ID_SW - 11 | ID_Odoo - 233
Sat Jan 14 14:05:09 2023 | SUCCESS | res.partner | Biggs Darklighter | ID_SW - 9 | ID_Odoo - 234
Sat Jan 14 14:05:12 2023 | SUCCESS | res.partner | Obi-Wan Kenobi | ID_SW - 10 | ID_Odoo - 235
Sat Jan 14 14:05:14 2023 | SUCCESS | res.partner | Chewbacca | ID_SW - 13 | ID_Odoo - 236
Sat Jan 14 14:05:16 2023 | SUCCESS | res.partner | Greedo | ID_SW - 15 | ID_Odoo - 237
Sat Jan 14 14:05:18 2023 | SUCCESS | res.partner | Han Solo | ID_SW - 14 | ID_Odoo - 238
Sat Jan 14 14:05:21 2023 | SUCCESS | res.partner | Jabba Desilijic Tiure | ID_SW - 16 | ID_Odoo - 239
Sat Jan 14 14:05:23 2023 | SUCCESS | res.partner | Jek Tono Porkins | ID_SW - 19 | ID_Odoo - 240
Sat Jan 14 14:05:25 2023 | SUCCESS | res.partner | Wedge Antilles | ID_SW - 18 | ID_Odoo - 241
Sat Jan 14 14:05:27 2023 | SUCCESS | res.partner | Palpatine | ID_SW - 21 | ID_Odoo - 242
Sat Jan 14 14:05:30 2023 | SUCCESS | res.partner | Yoda | ID_SW - 20 | ID_Odoo - 243
Sat Jan 14 14:05:32 2023 | SUCCESS | res.partner | Bossk | ID_SW - 24 | ID_Odoo - 244
Sat Jan 14 14:05:34 2023 | SUCCESS | res.partner | Lando Calrissian | ID_SW - 25 | ID_Odoo - 245
Sat Jan 14 14:05:36 2023 | SUCCESS | res.partner | IG-88 | ID_SW - 23 | ID_Odoo - 246
Sat Jan 14 14:05:39 2023 | SUCCESS | res.partner | Boba Fett | ID_SW - 22 | ID_Odoo - 247
Sat Jan 14 14:05:41 2023 | SUCCESS | res.partner | Mon Mothma | ID_SW - 28 | ID_Odoo - 248
Sat Jan 14 14:05:43 2023 | SUCCESS | res.partner | Ackbar | ID_SW - 27 | ID_Odoo - 249
Sat Jan 14 14:05:45 2023 | SUCCESS | res.partner | Arvel Crynyd | ID_SW - 29 | ID_Odoo - 250
Sat Jan 14 14:05:48 2023 | SUCCESS | res.partner | Lobot | ID_SW - 26 | ID_Odoo - 251
Sat Jan 14 14:05:50 2023 | SUCCESS | res.partner | Nien Nunb | ID_SW - 31 | ID_Odoo - 252
Sat Jan 14 14:05:52 2023 | SUCCESS | res.partner | Qui-Gon Jinn | ID_SW - 32 | ID_Odoo - 253
Sat Jan 14 14:05:54 2023 | SUCCESS | res.partner | Wicket Systri Warrick | ID_SW - 30 | ID_Odoo - 254
Sat Jan 14 14:05:57 2023 | SUCCESS | res.partner | Nute Gunray | ID_SW - 33 | ID_Odoo - 255
Sat Jan 14 14:05:59 2023 | SUCCESS | res.partner | Finis Valorum | ID_SW - 34 | ID_Odoo - 256
Sat Jan 14 14:06:01 2023 | SUCCESS | res.partner | Padmé Amidala | ID_SW - 35 | ID_Odoo - 257
Sat Jan 14 14:06:03 2023 | SUCCESS | res.partner | Jar Jar Binks | ID_SW - 36 | ID_Odoo - 258
Sat Jan 14 14:06:06 2023 | SUCCESS | res.partner | Roos Tarpals | ID_SW - 37 | ID_Odoo - 259
Sat Jan 14 14:06:08 2023 | SUCCESS | res.partner | Watto | ID_SW - 40 | ID_Odoo - 260
Sat Jan 14 14:06:10 2023 | SUCCESS | res.partner | Sebulba | ID_SW - 41 | ID_Odoo - 261
Sat Jan 14 14:06:12 2023 | SUCCESS | res.partner | Ric Olié | ID_SW - 39 | ID_Odoo - 262
Sat Jan 14 14:06:15 2023 | SUCCESS | res.partner | Rugor Nass | ID_SW - 38 | ID_Odoo - 263
Sat Jan 14 14:06:17 2023 | SUCCESS | res.partner | Darth Maul | ID_SW - 44 | ID_Odoo - 264
Sat Jan 14 14:06:19 2023 | SUCCESS | res.partner | Quarsh Panaka | ID_SW - 42 | ID_Odoo - 265
Sat Jan 14 14:06:21 2023 | SUCCESS | res.partner | Bib Fortuna | ID_SW - 45 | ID_Odoo - 266
Sat Jan 14 14:06:24 2023 | SUCCESS | res.partner | Shmi Skywalker | ID_SW - 43 | ID_Odoo - 267
Sat Jan 14 14:06:26 2023 | SUCCESS | res.partner | Ratts Tyerel | ID_SW - 47 | ID_Odoo - 268
Sat Jan 14 14:06:28 2023 | SUCCESS | res.partner | Ayla Secura | ID_SW - 46 | ID_Odoo - 269
Sat Jan 14 14:06:30 2023 | SUCCESS | res.partner | Dud Bolt | ID_SW - 48 | ID_Odoo - 270
Sat Jan 14 14:06:33 2023 | SUCCESS | res.partner | Gasgano | ID_SW - 49 | ID_Odoo - 271
Sat Jan 14 14:06:35 2023 | SUCCESS | res.partner | Ben Quadinaros | ID_SW - 50 | ID_Odoo - 272
Sat Jan 14 14:06:37 2023 | SUCCESS | res.partner | Mace Windu | ID_SW - 51 | ID_Odoo - 273
Sat Jan 14 14:06:39 2023 | SUCCESS | res.partner | Ki-Adi-Mundi | ID_SW - 52 | ID_Odoo - 274
Sat Jan 14 14:06:41 2023 | SUCCESS | res.partner | Kit Fisto | ID_SW - 53 | ID_Odoo - 275
